Country,With NMSC : Both Sexes : Population,With NMSC : Both Sexes : ASR,With NMSC : Both Sexes : Mortality,With NMSC : Men : Population,With NMSC : Men : Mortality,With NMSC : Women : Population,With NMSC : Women : Mortality,Without NMSC : Both Sexes : Population,Without NMSC : Both Sexes : ASR,Without NMSC : Both Sexes : Mortality,Without NMSC : Men : Population,Without NMSC : Men : Mortality,Without NMSC : Women : Population,Without NMSC : Women : Mortality
Solomon Islands,684,134.8,365,279,166,405,199,681,134.2,365,277,166,404,199
Somalia,10681,121.0,8038,3998,3104,6683,4934,10423,118.1,7886,3878,3032,6545,4854
South Africa,111321,203.4,64547,52379,30653,58942,33894,100897,183.6,63646,46446,30098,54451,33548
South Korea,237701,234.7,97615,128045,61059,109656,36556,232963,230.9,97268,126189,60927,106774,36341
South Sudan,6874,99.4,5081,2857,2143,4017,2938,6737,97.4,5010,2794,2109,3943,2901
Spain,278729,274.6,115590,158410,69442,120319,46148,264528,265.5,114808,149854,68969,114674,45839
Sri Lanka,33243,106.9,19145,15733,9820,17510,9325,32829,105.6,18992,15491,9724,17338,9268
Sudan,28586,95.6,18504,11326,8001,17260,10503,28076,93.9,18216,11079,7839,16997,10377
Suriname,1119,169.5,626,571,340,548,286,1103,167.0,626,563,340,540,286
Sweden,69261,310.0,25569,37869,13208,31392,12361,61794,288.9,25461,33658,13139,28136,12322
Switzerland,58330,292.7,19420,31996,10592,26334,8828,48153,255.2,19266,26188,10504,21965,8762
Syria,21926,138.6,13848,10179,7217,11747,6631,21505,135.7,13647,9889,7077,11616,6570
Tajikistan,6467,91.7,4225,2949,2149,3518,2076,6366,90.0,4203,2880,2135,3486,2068
Tanzania,44931,140.1,29743,18215,12796,26716,16947,44070,137.7,29467,17890,12702,26180,16765
Thailand,183541,154.4,118829,90333,65100,93208,53729,180337,152.0,117760,88596,64523,91741,53237
Timor-Leste,828,84.5,517,373,262,455,255,820,83.5,517,369,262,451,255
Togo,5491,107.5,3605,2396,1623,3095,1982,5292,104.0,3527,2285,1583,3007,1944
Trinidad and Tobago,3931,186.7,2221,1969,1169,1962,1052,3918,186.1,2216,1961,1166,1957,1050
Tunisia,20551,135.4,12580,11441,7761,9110,4819,20095,132.4,12450,11176,7680,8919,4770
Turkmenistan,6807,122.7,4456,3047,2183,3760,2273,6561,117.9,4420,2940,2163,3621,2257
Türkiye (Turkey),240013,225.9,129672,132476,82446,107537,47226,231784,218.6,129099,127227,82146,104557,46953
UAE,5526,105.1,2283,2607,1283,2919,1000,5445,103.4,2264,2552,1268,2893,996
UK,454954,307.8,181807,242245,97129,212709,84678,417481,290.6,180294,217526,96123,199955,84171
US,2380189,367.0,605761,1283898,320641,1096291,285120,1832550,303.6,600970,930417,317177,902133,283793
Uganda,35968,154.4,24629,15459,10708,20509,13921,35539,152.5,24440,15265,10619,20274,13821
Ukraine,155239,199.9,84153,75825,47415,79414,36738,150687,195.5,83582,73902,47126,76785,36456
Uruguay,16817,279.9,8980,8579,4920,8238,4060,15664,262.7,8933,7919,4888,7745,4045
Uzbekistan,35900,112.7,22071,16035,10743,19865,11328,35498,111.3,21928,15813,10669,19685,11259
Vanuatu,250,108.2,151,105,77,145,74,250,108.2,151,105,77,145,74
Venezuela,62947,184.8,31737,31374,16346,31573,15391,58613,173.4,31072,28836,15964,29777,15108
Vietnam,180480,150.8,120184,95358,71385,85122,48799,179123,149.7,119694,94680,71141,84443,48553
Yemen,16525,83.1,11854,7213,5515,9312,6339,16260,81.5,11726,7053,5419,9207,6307
Zambia,15296,159.5,9770,6433,4121,8863,5649,15037,156.9,9694,6295,4077,8742,5617
Zimbabwe,17725,208.0,11739,6505,4376,11220,7363,17312,203.1,11599,6334,4320,10978,7279
